Producto ;Gramajes;Descripcion ;Tamaño De Ración;Raciones por Envace ;Kcal de Energia ;Energia de Grasa;Grasa Total - VD;Grasa Saturada - V.D.;Grasa Trans - V.D.;Coresterol ;Sodio - V.D.;Carbohidrato Total ;Fibra Dietetica ;Continene menos de g de Azucar;Proteínas ;Dietas de Calorias ;Una Porcion Aporta g Calorias;Vitamina D;Hierro;Calcio;Potasio 
Yuquita Chile toreado;130g - 16g;Hojuelas de Yuca Frita con sabor a chiles toreados.;28 g;1.18;600 KJ (140 Kcal);250 KJ (60kcal);7g (11%);3g - 15%;0g;0g - 0%;250 mg - 10%;19g - 6%;1g - 4%;1g;1g;8.378 KJ (2,000 cal);28g;0%;0%;2%;6%
Yuquitas Originales ;130g - 16g;Tajadas de yuca con sal.;28g;1.18;600 KJ (140 Kcal);250 KJ (60kcal);6g (8%);3g -15%;0g;0g - 0%;115 mg - 5%;19g - 7%;2g - 7%;1g;1g;8.378 KJ (2,000 cal);28g;0%;2%;2%;4%
Zambos Yuquita Con Ajo Parmesano;16g-33g -130g;Hojuelas de Yuca Frita con sabor queso y ajo parmesano;;;;;;;;;;;;;;;;;;;
Zambos Ceviche;140g - 33g - 21g;Hojuelas de plátano frito con sabor a frutos del mar.;28g;1.18;600 KJ (140 Kcal);250 KJ (60kcal);7g (9%);3g -15%;0g;0g - 0%;360 mg -16%;19g - 7%;2g - 7%;1g;1g;8.378 KJ (2,000 cal);28 g;0%;2%;0%;6%
Zambos con Chicharon del rancho;138g - 21g;Hojuelas de plátano frito con chicharrón de cerdo.;1 oz (28g);0.94;600 KJ (140 Kcal);250 KJ (60 Kcal);7g (9%);3g - 15%;0g;0 mg - 0%;105 mg - 4%;19g - 6%;1g - 4%;0g;1g;8.378 KJ (2,000 cal);28g;0%;0%;0%;220mg - 4%
Zambos Maduritos;140g - 33g - 19g - 21g;Tajadas de plátano maduro.;28g ;1.18;550 KJ (130 Kcal);150 KJ (35Kcal);3.5g (5%);1.5g - 8%;0g;0g - 0%;0 mg - 0%;23g - 8%;1g - 4%;7g;1g;8.378 KJ (2,000 cal);28g;0%;0%;0%;7%
Zambos Picositas;500g - 140g - 70g - 33g - 21g - 19g;ojuelas de plátano frito con sabor a chile, limón y sal.;28g;1.18;600 KJ (140 Kcal);250 KJ (60 Kcal);6g (8%);3g (15%);0g;0g - 0%;310 mg - 13%;19g - 7%;1g - 4%;1g;1g;8.378 KJ (2,000 cal);28g;0%;2%;0%;6%
Zambos Originales Onduladas;140g - 70g - 33g - 21g - 19g;Hojuelas de plátano frito original.;No hay informacion;;;;;;;;;;;;;;;;;;
Zambos Tajín;140g - 70g - 33g - 21g - 19g;Plátano premium sazonado con chile y limón.;1 oz (28g);1.18;600 KJ (140 Kcal);250 KJ (60 Kcal);7g (9%);3.5 g - (18%);0g;0g - 0%;420 mg - 18%;18g - 7%;1g - 4%;1g;1g;8.378 KJ (2,000 cal);28g;0%;2%;0%;6%
